classtype,flagno,storeno,storename,undertaker,storeaddr,contacttel,taxno
1,9565,O000289,桃苗汽車股份有限公司-南新竹所,盧建成,300新竹市經國路三段123號,03-5303388,
1,9564,R000422,南都汽車股份有限公司永大營業所,郭俊麟,710台南市永康區永大路三段302號,06-2014689,
1,9564,O000289,桃苗汽車股份有限公司-南新竹所,盧建成,300新竹市經國路三段123號,03-5303388,
1,9564,D000331,南都汽車股份有限公司西台南營業所,杜武雄,700台南市臺南市安平區永華路二段868號,06-2989191,
1,9563,R000422,南都汽車股份有限公司永大營業所,郭俊麟,710台南市永康區永大路三段302號,06-2014689,
1,9563,R000418,南都汽車股份有限公司新營營業所,李國安,730臺南市新營區長榮路二段1077號,06-6565136,
1,950050續,D000040,大同綜合訊電股份有限公司台南金華門市,李建興,702臺南市南區金華路2段117號,2630082,
1,9462,F002158,建榮機車行,程樹欉,220新北市板橋區四川路二段29號,02-89668703,
1,9462,D000342,KYMCO_尚德車業行,蔣紹銘,701臺南市東區崇善路200號,06-2696255,
1,9462,C000140,宏達機車行,鄧尊仁,202基隆市中正區新豐街259號,02-24697638,
1,9361,D000400,和順機車行,陳永大,701臺南市東區東安路41號,062378911,
1,9361,D000394,昶興機車行,杜淵裕,701臺南市東區裕豐街184號,062003206,
1,9361,C000186,寬達機車行,黃寬達,204基隆市安樂區安樂路一段121號1樓,02-24300169,
1,9361,C000170,順利機車行,張順利,202基隆市中正區北寧路368號,02-24695155,
1,9360,Q000224,明治機車行,郭明治,613嘉義縣朴子市內厝里北通路120號,05-3796280,
1,9360,N000385,全陽機車行,趙偉勝,500彰化縣彰化市光復路33號,04-7384997,
1,9360,D000394,昶興機車行,杜淵裕,701臺南市東區裕豐街184號,062003206,
1,9360,C000186,寬達機車行,黃寬達,204基隆市安樂區安樂路一段121號1樓,02-24300169,
1,929,V000001,台東縣農會生鮮超市,李俊德,950臺東縣臺東市新生路195號,089-342701#103,
1,929,H000017,大潤發流通事業股份有限公司八德分公司,林怡君,334桃園市八德區介壽路二段148號,03-3711133#105,
1,929,F000015,大潤發流通事業股分有限公司中和分公司景平店,郭玲麗,235新北市中和區景平路182號地下1樓,02-29436000#501,
1,929,B000001,遠百企業股份有限公司台中復興分公司,蔡旭仁,402臺中市南區復興路一段359號,04-22658686,
1,929,A000078,大潤發流通事業股份有限公司南湖分公司,馬淼松,114臺北市內湖區舊宗路一段188號,02-27905050#501,
1,929,A000002,遠百企業股份有限公司忠孝分公司,王榮華,110臺北市信義區忠孝東路五段297號,02-25289388,
1,9213,K000249,大明機車行(苗),李奕霆,357苗栗縣通霄鎮通西里中山路25鄰197號,037-752217,
1,9213,H001325,裕益機車行,邱繼益,334桃園市八德區介壽路一段930號,03-3622122,
1,9213,F002158,建榮機車行,程樹欉,220新北市板橋區四川路二段29號,02-89668703,
1,9213,D000401,新益昌車行,邱聖佳,701臺南市東區崇德路659號之10,06-2681111,
1,9213,C000171,銘信機車行,吳再銘,201基隆市信義區信二路252號,02-24282689,
1,9213,C000139,長欣機車行,吳長駿,202基隆市中正區新豐街401號1樓,02-24693961,
1,9212,C000145,文禾機車行,陳碧玉,200基隆市仁愛區南榮路63號,02-24250076,
1,9212,C000140,宏達機車行,鄧尊仁,202基隆市中正區新豐街259號,02-24697638,
1,9211,H001325,裕益機車行,邱繼益,334桃園市八德區介壽路一段930號,03-3622122,
1,9211,D000401,新益昌車行,邱聖佳,701臺南市東區崇德路659號之10,06-2681111,
1,9211,C000171,銘信機車行,吳再銘,201基隆市信義區信二路252號,02-24282689,
1,9210,F002158,建榮機車行,程樹欉,220新北市板橋區四川路二段29號,02-89668703,
1,9210,D000401,新益昌車行,邱聖佳,701臺南市東區崇德路659號之10,06-2681111,
1,9210,C000199,名豐輪業有限公司,簡金旺,200基隆市仁愛區南榮路57號,02-24223795,
1,9210,C000140,宏達機車行,鄧尊仁,202基隆市中正區新豐街259號,02-24697638,
1,9210,C000139,長欣機車行,吳長駿,202基隆市中正區新豐街401號1樓,02-24693961,
1,9203,P000237,南都汽車股份有限公司斗六營業所,劉勝和,640斗六市大學路二段9號,05-5346511,
1,9120,M000227,欣農發實業股份有限公司,李佩真,557南投縣竹山鎮延正里江西路38-2號,049-2631234,
1,8992,N000422,伸益機車有限公司,柯順記,509彰化縣伸港鄉新港村新港路119-1號,04-7981215,
1,8992,N000354,良美機車企業行,王芷妍,502彰化縣芬園鄉芬草路二段159號,049-2522810,
1,8992,C000188,宏堂機車行,洪炳堂,205基隆市暖暖區東碇路538號,02-24585656,
1,8992,C000180,明達機車行,江錫冠,206基隆市七堵區明德二路15之21號,02-24513855,
1,8992,C000150,昌億機車行,吳金波,204基隆市安樂區安一路207號,02-24237417,
1,8956,G000008,喜互惠生鮮超市宜興店,曾婉真,260宜蘭縣宜蘭市宜興路一段273號,03-9356999,
1,8954,G000008,喜互惠生鮮超市宜興店,曾婉真,260宜蘭縣宜蘭市宜興路一段273號,03-9356999,
1,8917,R000031,大同綜合訊電股份有限公司-大同3C_鹽水門市,詹政宏,737臺南市鹽水區朝琴路130號1樓A棟,06-6522309,
1,8915,R000031,大同綜合訊電股份有限公司-大同3C_鹽水門市,詹政宏,737臺南市鹽水區朝琴路130號1樓A棟,06-6522309,
1,8907,R000449,孟進車業行,陳信言,712臺南市新化區中山路260號1F,065907467,
1,8907,R000434,YAMAHA_峻侑機車行,林振邦,710臺南市永康區中山路209號,06-2024367,
1,8907,N000360,穩發車業行,楊來發,514彰化縣溪湖鎮彰水路３段４５６、４５８號,04-8855973,
1,8907,N000352,金馬機車行,李炳富,500彰化縣彰化市中山路２段549號1.2樓,04-7223724,
1,8907,N000345,泉興機車股份有限公司,呂嘉甫,505彰化縣鹿港鎮彰鹿路８段２０號１樓,04-7772363,
1,8907,H001358,和昇機車行,游孟昌,324桃園市平鎮區金陵路240號1樓,4581191,
1,8907,C000186,寬達機車行,黃寬達,204基隆市安樂區安樂路一段121號1樓,02-24300169,
1,8907,C000170,順利機車行,張順利,202基隆市中正區北寧路368號,02-24695155,
1,8906,N000374,信源車業有限公司,陳國仁,520彰化縣田中鎮員集路一段915號,04-8742658,
1,8906,C000188,宏堂機車行,洪炳堂,205基隆市暖暖區東碇路538號,02-24585656,
1,8906,C000159,新發機車行,蕭定輔,203基隆市中山區西定路299號,02-24226594,
1,8905,N000345,泉興機車股份有限公司,呂嘉甫,505彰化縣鹿港鎮彰鹿路８段２０號１樓,04-7772363,
1,8905,K000290,冠榮機車行,曾淑觀,360苗栗縣苗栗市福麗里6鄰至公路228號1樓,037-320697,
1,8905,K000287,大弘車業商行,佘秀嬌,351苗栗縣頭份市民族路358號,037-680218,
1,8905,K000283,泉盛車行,林隆泉,363苗栗縣公館鄉五谷村12鄰51號,037-226804,
1,8905,K000281,良友機車行,徐文良,351苗栗縣頭份市成功里10鄰建國路191號1樓,037-664004,
1,8905,K000278,永宏機車行,吳煥榮,351苗栗縣頭份市新華里12鄰中正一路74號,037-687549,
1,8905,K000273,明輪機車行,楊珠蓮,356苗栗縣後龍鎮大庄里14鄰成功路116號,037-727543,
1,8905,C000186,寬達機車行,黃寬達,204基隆市安樂區安樂路一段121號1樓,02-24300169,
1,8905,C000170,順利機車行,張順利,202基隆市中正區北寧路368號,02-24695155,
1,8904,N000420,進昌機車行,李文修,500彰化縣彰化市延平里大埔路586號,04-7115269,
1,8904,N000375,冠緯車業有限公司,黃仲裕,510彰化縣員林市大同路２段３４１﹒３４３﹒３４５號,04-8323040,
1,8904,K000285,台豐機車行,張日奎,369苗栗縣卓蘭鎮新厝里中正路15號,042-5893198,
1,8904,K000271,錦達機車行,洪淑美,358苗栗縣苑裡鎮山腳里7鄰山腳167號,037-740467,
1,8904,K000269,永亨輪業有限公司,林錦洲,357苗栗縣通霄鎮平元里19鄰南和路一段5號,037-756888,
1,8904,H001360,權鴻機車行,鄒漢宗,324桃園市平鎮區復旦路2段193號1樓,4925460,
1,8904,C000180,明達機車行,江錫冠,206基隆市七堵區明德二路15之21號,02-24513855,
1,8904,C000159,新發機車行,蕭定輔,203基隆市中山區西定路299號,02-24226594,
1,8903,P000327,全翔機車行,鄭譡德,640雲林縣斗六市成功路319號,05-5338956,
1,8903,N000370,泰安機車行,郭陳淑花,505彰化縣鹿港鎮民權路２７號,04-7222030,
1,8903,N000352,金馬機車行,李炳富,500彰化縣彰化市中山路２段549號1.2樓,04-7223724,
1,8903,K000289,永興車業行,謝文輝,360苗栗縣苗栗市清華里6鄰為公路161號,037-270102,
1,8903,K000288,敬悅機車行,湯仁均,360苗栗縣苗栗市恭敬里信義街17號1樓,037-359290,
1,8903,K000283,泉盛車行,林隆泉,363苗栗縣公館鄉五谷村12鄰51號,037-226804,
1,8903,K000282,騰翔機車行,黃謝鳳垣,353苗栗縣南庄鄉東村9鄰中正路82號,037-822222,
